origin,Destination,Chargeable Wt,Mode,Nature of Consignment,Historical_Delivery_Days
Patna,Pune,2.01,Surface,Dox,3
Bhubaneswar,Ludhiana,8.04,Surface,Dox,5
Raipur,Dehradun,7.6,Air Cargo,Dox,5
Thiruvananthapuram,Raipur,10.09,Surface,Non-Dox,5
Ranchi,Delhi,2.93,Surface,Dox,3
Meerut,Indore,8.69,Air Cargo,Dox,5
Coimbatore,Chandigarh,1.29,Surface,Dox,3
Patna,Shimla,4.92,Surface,Non-Dox,3
Guwahati,Lucknow,6.67,Express,Non-Dox,2
Chandigarh,Guwahati,5.15,Surface,Dox,5
Ahmedabad,Srinagar,12.42,Surface,Dox,5
Bangalore,Jaipur,4.03,Express,Dox,2
Kolkata,Bhopal,13.19,Surface,Non-Dox,5
Bhopal,Lucknow,5.6,Air Cargo,Non-Dox,5
Ahmedabad,Ranchi,8.5,Surface,Dox,5
Ahmedabad,Delhi,14.29,Express,Dox,2
Thiruvananthapuram,Kochi,12.17,Express,Dox,2
Pune,Delhi,5.05,Express,Non-Dox,2
Jamshedpur,Ludhiana,3.21,Surface,Non-Dox,3
Vizag,Bhopal,3.16,Air Cargo,Dox,3
Srinagar,Pune,6.65,Surface,Dox,5
Nashik,Amritsar,4.42,Surface,Non-Dox,3
Ranchi,Bhopal,1.75,Express,Non-Dox,1
Surat,Vizag,5.83,Surface,Dox,5
Dehradun,Chennai,8.94,Surface,Non-Dox,5
Varanasi,Mumbai,1.76,Express,Dox,1
Ranchi,Meerut,13.09,Surface,Non-Dox,5
Jaipur,Nashik,12.08,Surface,Non-Dox,5
Bangalore,Kochi,5.6,Air Cargo,Dox,5
Nagpur,Aurangabad,13.94,Express,Dox,2
Chandigarh,Srinagar,6.96,Surface,Dox,5
Surat,Mumbai,8.66,Surface,Dox,5
Bangalore,Ludhiana,11.41,Surface,Non-Dox,5
Jamshedpur,Dehradun,8.23,Surface,Dox,5
Jaipur,Delhi,4.84,Surface,Dox,3
Surat,Thiruvananthapuram,11.13,Air Cargo,Dox,5
Thiruvananthapuram,Agra,10.71,Express,Non-Dox,2
Coimbatore,Guwahati,11.58,Surface,Non-Dox,5
Meerut,Lucknow,5.04,Surface,Dox,5
Nagpur,Chandigarh,10.54,Surface,Dox,5
Agra,Meerut,5.81,Express,Non-Dox,2
Hyderabad,Bhubaneswar,7.84,Air Cargo,Non-Dox,5
Varanasi,Surat,4.88,Express,Non-Dox,2
Jaipur,Vizag,6.09,Air Cargo,Dox,5
Hyderabad,Aurangabad,4.07,Surface,Non-Dox,3
Surat,Agra,6.77,Express,Dox,2
Bhubaneswar,Pune,6.01,Surface,Non-Dox,5
Hyderabad,Bhopal,8.52,Surface,Non-Dox,5
Ludhiana,Nagpur,4.69,Surface,Dox,3
Hyderabad,Amritsar,1.54,Surface,Non-Dox,3
Jaipur,Mumbai,2.99,Surface,Dox,3
Shimla,Agra,5.65,Express,Non-Dox,2
Agra,Vizag,9.19,Surface,Dox,5
Coimbatore,Kochi,6.71,Surface,Non-Dox,5
Aurangabad,Guwahati,11.47,Surface,Dox,5
Ahmedabad,Bangalore,4.76,Express,Dox,2
Kochi,Nashik,11.58,Air Cargo,Dox,5
Bhubaneswar,Meerut,2.62,Surface,Dox,3
Bhubaneswar,Nashik,6.14,Express,Dox,2
Chennai,Kolkata,3.95,Surface,Non-Dox,3
Aurangabad,Bhubaneswar,8.51,Express,Non-Dox,2
Amritsar,Lucknow,8.5,Surface,Non-Dox,5
Bhubaneswar,Thiruvananthapuram,5.61,Surface,Non-Dox,5
Srinagar,Mumbai,13.8,Surface,Dox,5
Surat,Bhubaneswar,4.73,Surface,Dox,3
Chennai,Agra,3.29,Air Cargo,Non-Dox,3
Delhi,Bangalore,8.31,Surface,Non-Dox,5
Nagpur,Nashik,3.52,Surface,Dox,3
Agra,Pune,11.17,Air Cargo,Non-Dox,5
Lucknow,Ludhiana,6.24,Air Cargo,Non-Dox,5
Kochi,Bangalore,6.41,Surface,Dox,5
Amritsar,Kolkata,10.4,Air Cargo,Non-Dox,5
Pune,Patna,10.91,Surface,Dox,5
Bhubaneswar,Ludhiana,0.89,Surface,Non-Dox,3
Bhubaneswar,Surat,6.02,Air Cargo,Non-Dox,5
Jamshedpur,Vijayawada,4.63,Surface,Dox,3
Agra,Srinagar,7.82,Surface,Dox,5
Hyderabad,Raipur,10.77,Surface,Non-Dox,5
Nagpur,Srinagar,7.6,Surface,Non-Dox,5
Delhi,Srinagar,3.35,Surface,Dox,3
Jaipur,Bangalore,8.06,Surface,Dox,5
Ahmedabad,Nagpur,5.13,Surface,Non-Dox,5
Kochi,Ludhiana,3.3,Surface,Dox,3
Coimbatore,Aurangabad,10.49,Surface,Non-Dox,5
Vijayawada,Chandigarh,10.07,Surface,Non-Dox,5
Jamshedpur,Raipur,9.2,Express,Non-Dox,2
Thiruvananthapuram,Bhopal,7.82,Surface,Dox,5
Kolkata,Patna,9.13,Surface,Non-Dox,5
Delhi,Guwahati,5.04,Surface,Non-Dox,5
Pune,Delhi,8.2,Surface,Non-Dox,5
Kochi,Amritsar,3.39,Express,Non-Dox,2
Shimla,Aurangabad,5.64,Surface,Dox,5
Ludhiana,Dehradun,4.73,Surface,Non-Dox,3
Varanasi,Raipur,7.6,Express,Non-Dox,2
Meerut,Jamshedpur,7.04,Surface,Non-Dox,5
Bhopal,Nagpur,9.08,Surface,Dox,5
Thiruvananthapuram,Mumbai,10.63,Express,Non-Dox,2
Kolkata,Meerut,5.41,Surface,Dox,5
Surat,Agra,6.6,Air Cargo,Non-Dox,5
Varanasi,Nagpur,12.35,Surface,Dox,5
Mumbai,Bhubaneswar,11.3,Surface,Non-Dox,5
Jaipur,Lucknow,4.93,Surface,Non-Dox,3
Agra,Pune,3.1,Surface,Dox,3
Agra,Indore,6.72,Surface,Non-Dox,5
Nagpur,Bhubaneswar,8.09,Express,Dox,2
Ludhiana,Nagpur,5.68,Surface,Dox,5
Pune,Coimbatore,8.87,Air Cargo,Dox,5
Amritsar,Surat,11.69,Surface,Dox,5
Ranchi,Bhopal,2.12,Air Cargo,Dox,3
Aurangabad,Nagpur,10.12,Express,Dox,2
Vizag,Bhopal,11.19,Air Cargo,Dox,5
Kochi,Amritsar,3.01,Express,Dox,2
Pune,Srinagar,6.2,Surface,Dox,5
Srinagar,Amritsar,4.18,Surface,Dox,3
Ranchi,Varanasi,3.01,Surface,Dox,3
Dehradun,Amritsar,7.18,Air Cargo,Non-Dox,5
Hyderabad,Chennai,12.06,Air Cargo,Non-Dox,5
Bhubaneswar,Ranchi,14.29,Air Cargo,Dox,5
Bangalore,Dehradun,2.47,Surface,Dox,3
Vijayawada,Jamshedpur,2.9,Express,Non-Dox,2
Jamshedpur,Raipur,3.04,Surface,Non-Dox,3
Pune,Delhi,3.93,Express,Dox,2
Bhubaneswar,Kolkata,14.5,Surface,Non-Dox,5
Patna,Coimbatore,10.97,Surface,Non-Dox,5
Chennai,Surat,4.55,Surface,Non-Dox,3
Thiruvananthapuram,Delhi,9.16,Air Cargo,Dox,5
Thiruvananthapuram,Aurangabad,9.31,Surface,Non-Dox,5
Meerut,Surat,2.3,Air Cargo,Non-Dox,3
Nashik,Lucknow,6.24,Air Cargo,Non-Dox,5
Nashik,Jamshedpur,10.56,Surface,Dox,5
Indore,Jamshedpur,8.04,Surface,Dox,5
Dehradun,Indore,10.35,Air Cargo,Non-Dox,5
Jamshedpur,Lucknow,6.4,Surface,Non-Dox,5
Srinagar,Vizag,4.89,Air Cargo,Non-Dox,3
Vizag,Varanasi,11.41,Air Cargo,Non-Dox,5
Dehradun,Srinagar,11.98,Express,Non-Dox,2
Ranchi,Agra,10.44,Surface,Non-Dox,5
Ludhiana,Raipur,7.76,Express,Non-Dox,2
Patna,Indore,11.59,Air Cargo,Non-Dox,5
Hyderabad,Ludhiana,8.48,Express,Dox,2
Vijayawada,Bangalore,12.36,Express,Non-Dox,2
Mumbai,Hyderabad,10.75,Air Cargo,Non-Dox,5
Thiruvananthapuram,Dehradun,5.45,Surface,Dox,5
Hyderabad,Kolkata,9.58,Surface,Dox,5
Coimbatore,Bangalore,5.05,Express,Non-Dox,2
Hyderabad,Srinagar,7.71,Air Cargo,Non-Dox,5
Chennai,Meerut,6.33,Express,Non-Dox,2
Kolkata,Bangalore,8.06,Surface,Dox,5
Pune,Shimla,3.41,Air Cargo,Non-Dox,3
Varanasi,Kochi,5.02,Surface,Non-Dox,5
Pune,Aurangabad,8.01,Express,Dox,2
Bhopal,Jaipur,7.3,Surface,Dox,5
Mumbai,Shimla,1.92,Surface,Dox,3
Delhi,Varanasi,11.01,Surface,Dox,5
Patna,Jamshedpur,3.59,Surface,Dox,3
Coimbatore,Srinagar,1.87,Surface,Non-Dox,3
Ahmedabad,Dehradun,13.6,Air Cargo,Dox,5
Srinagar,Pune,6.51,Surface,Dox,5
Kolkata,Coimbatore,12.91,Surface,Non-Dox,5
Bhopal,Mumbai,6.25,Surface,Dox,5
Varanasi,Lucknow,11.33,Surface,Dox,5
Bhopal,Indore,10.55,Express,Dox,2
Coimbatore,Guwahati,1.34,Air Cargo,Non-Dox,3
Vizag,Bhopal,6.01,Express,Dox,2
Pune,Dehradun,9.24,Express,Non-Dox,2
Aurangabad,Nashik,7.96,Express,Dox,2
Pune,Bangalore,6.28,Air Cargo,Non-Dox,5
Chandigarh,Patna,9.73,Surface,Dox,5
Dehradun,Aurangabad,3.9,Surface,Non-Dox,3
Dehradun,Agra,8.87,Surface,Non-Dox,5
Nagpur,Kolkata,4.35,Express,Non-Dox,2
Amritsar,Nagpur,13.73,Surface,Dox,5
Vizag,Srinagar,6.15,Express,Non-Dox,2
Delhi,Amritsar,7.76,Surface,Dox,5
Bhubaneswar,Chandigarh,6.06,Air Cargo,Dox,5
Kolkata,Vijayawada,6.85,Surface,Non-Dox,5
Ranchi,Kolkata,2.4,Surface,Dox,3
Dehradun,Ludhiana,10.27,Air Cargo,Non-Dox,5
Srinagar,Raipur,8.55,Express,Non-Dox,2
Jamshedpur,Chandigarh,1.82,Air Cargo,Non-Dox,3
Vijayawada,Coimbatore,9.8,Surface,Dox,5
Dehradun,Amritsar,3.61,Surface,Non-Dox,3
Dehradun,Pune,9.41,Surface,Non-Dox,5
Meerut,Bangalore,7.61,Express,Dox,2
Nagpur,Srinagar,8.3,Express,Non-Dox,2
Patna,Aurangabad,13.24,Surface,Dox,5
Pune,Bhubaneswar,5.98,Surface,Dox,5
Kolkata,Raipur,11.63,Surface,Non-Dox,5
Chennai,Aurangabad,10.47,Surface,Non-Dox,5
Nashik,Hyderabad,10.7,Express,Dox,2
Lucknow,Amritsar,6.8,Surface,Dox,5
Coimbatore,Hyderabad,2.82,Surface,Dox,3
Meerut,Raipur,3.46,Surface,Dox,3
Chandigarh,Bangalore,4.66,Air Cargo,Dox,3
Dehradun,Delhi,1.45,Surface,Non-Dox,3
Surat,Raipur,8.34,Surface,Non-Dox,5
Ludhiana,Aurangabad,4.95,Surface,Non-Dox,3
Bhopal,Dehradun,1.83,Air Cargo,Non-Dox,3
Vizag,Thiruvananthapuram,8.76,Air Cargo,Non-Dox,5
Aurangabad,Bangalore,6.22,Air Cargo,Dox,5
Chennai,Agra,4.02,Express,Dox,2
Dehradun,Chandigarh,13.11,Express,Non-Dox,2
Kochi,Delhi,4.07,Express,Dox,2
Varanasi,Ranchi,3.84,Surface,Non-Dox,3
Agra,Meerut,10.49,Surface,Non-Dox,5
Indore,Surat,10.69,Air Cargo,Dox,5
Mumbai,Guwahati,9.56,Surface,Non-Dox,5
Patna,Indore,3.06,Surface,Dox,3
Srinagar,Vijayawada,5.29,Express,Dox,2
Surat,Amritsar,9.66,Surface,Dox,5
Coimbatore,Surat,7.26,Express,Non-Dox,2
Ahmedabad,Surat,2.67,Express,Dox,2
Aurangabad,Meerut,10.23,Express,Dox,2
Guwahati,Aurangabad,9.27,Air Cargo,Non-Dox,5
Meerut,Ranchi,4.92,Surface,Dox,3
Ranchi,Vizag,3,Express,Dox,2
Surat,Kolkata,7.78,Express,Non-Dox,2
Bangalore,Hyderabad,4.63,Air Cargo,Non-Dox,3
Shimla,Agra,10.46,Express,Non-Dox,2
Agra,Delhi,10.05,Surface,Dox,5
Ranchi,Ahmedabad,5.18,Surface,Non-Dox,5
Jaipur,Indore,13.86,Surface,Non-Dox,5
Jaipur,Ranchi,7.66,Surface,Non-Dox,5
Ranchi,Srinagar,11.91,Express,Dox,2
Mumbai,Amritsar,9,Air Cargo,Non-Dox,5
Vijayawada,Nashik,12.4,Surface,Non-Dox,5
Varanasi,Nagpur,2.14,Air Cargo,Non-Dox,3
Ranchi,Nagpur,1.42,Surface,Non-Dox,3
Bhubaneswar,Surat,7.36,Surface,Non-Dox,5
Raipur,Shimla,4.58,Surface,Dox,3
Varanasi,Bhubaneswar,8.61,Air Cargo,Dox,5
Agra,Nagpur,9.69,Surface,Dox,5
Amritsar,Kolkata,9.02,Surface,Non-Dox,5
Thiruvananthapuram,Chennai,10.63,Air Cargo,Dox,5
Vijayawada,Lucknow,10.17,Surface,Dox,5
Vizag,Agra,12.07,Air Cargo,Non-Dox,5
Delhi,Chandigarh,4.68,Surface,Non-Dox,3
Thiruvananthapuram,Dehradun,8.54,Express,Dox,2
Pune,Surat,2.96,Surface,Non-Dox,3
Vijayawada,Ahmedabad,2.74,Surface,Non-Dox,3
Shimla,Pune,8.79,Surface,Dox,5
Raipur,Lucknow,9.21,Air Cargo,Non-Dox,5
Jaipur,Kochi,3.42,Express,Non-Dox,2
Indore,Vizag,4.26,Air Cargo,Non-Dox,3
Lucknow,Delhi,3.78,Express,Dox,2
Ahmedabad,Jamshedpur,4.43,Surface,Non-Dox,3
Meerut,Shimla,4.11,Surface,Non-Dox,3
Chennai,Varanasi,2.25,Surface,Dox,3
Vizag,Meerut,12.73,Surface,Non-Dox,5
Amritsar,Coimbatore,13.29,Surface,Dox,5
Surat,Ludhiana,5.26,Surface,Dox,5
Meerut,Jaipur,10.33,Express,Dox,2
Ranchi,Srinagar,5.74,Express,Dox,2
Dehradun,Bhubaneswar,1.75,Air Cargo,Non-Dox,3
Shimla,Mumbai,11.3,Surface,Non-Dox,5
Delhi,Kochi,11.66,Express,Non-Dox,2
Mumbai,Dehradun,12.62,Surface,Non-Dox,5
Dehradun,Ranchi,3.8,Surface,Dox,3
Srinagar,Kolkata,5.44,Surface,Non-Dox,5
Nagpur,Patna,12.56,Express,Dox,2
Bhubaneswar,Meerut,2.86,Air Cargo,Non-Dox,3
Patna,Delhi,7.27,Surface,Dox,5
Dehradun,Varanasi,5.31,Express,Non-Dox,2
Kochi,Bhubaneswar,3.61,Surface,Non-Dox,3
Guwahati,Bhubaneswar,7.37,Surface,Dox,5
Meerut,Jaipur,3.09,Surface,Dox,3
Ahmedabad,Guwahati,10.38,Surface,Dox,5
Aurangabad,Dehradun,10.86,Air Cargo,Non-Dox,5
Chennai,Amritsar,9.83,Surface,Dox,5
Jamshedpur,Pune,12.76,Air Cargo,Non-Dox,5
Chennai,Varanasi,10.3,Air Cargo,Dox,5
Meerut,Raipur,5.57,Surface,Dox,5
Meerut,Amritsar,6.78,Surface,Non-Dox,5
Pune,Lucknow,5.57,Air Cargo,Non-Dox,5
Bangalore,Chandigarh,9.18,Surface,Non-Dox,5
Chennai,Nashik,4.08,Surface,Non-Dox,3
Varanasi,Indore,11.62,Express,Dox,2
Chennai,Ludhiana,13.91,Surface,Non-Dox,5
Patna,Shimla,8.04,Express,Dox,2
Vizag,Hyderabad,9.03,Surface,Non-Dox,5
Kolkata,Jamshedpur,6.69,Surface,Dox,5
Mumbai,Thiruvananthapuram,11.7,Surface,Dox,5
Vizag,Ludhiana,7,Surface,Dox,5
Vizag,Ludhiana,9.48,Surface,Non-Dox,5
Meerut,Agra,12.13,Express,Non-Dox,2
Indore,Ranchi,2.12,Express,Non-Dox,2
Agra,Chandigarh,8.71,Surface,Non-Dox,5
Raipur,Jaipur,8.54,Surface,Dox,5
Jamshedpur,Ludhiana,11.9,Surface,Non-Dox,5
Patna,Jamshedpur,5.91,Surface,Dox,5
Kolkata,Aurangabad,4.49,Surface,Non-Dox,3
Nashik,Jamshedpur,10.46,Air Cargo,Dox,5
Agra,Srinagar,12.75,Express,Non-Dox,2
Jamshedpur,Bhubaneswar,4.05,Surface,Non-Dox,3
Shimla,Bhopal,13.48,Air Cargo,Dox,5
Thiruvananthapuram,Bhopal,2.17,Surface,Dox,3
Patna,Varanasi,9.31,Express,Dox,2
Surat,Ranchi,5.92,Air Cargo,Non-Dox,5
Varanasi,Ahmedabad,13.95,Surface,Non-Dox,5
Dehradun,Varanasi,12.73,Surface,Dox,5
Jamshedpur,Surat,2.2,Express,Dox,2
Shimla,Bangalore,3.6,Surface,Non-Dox,3
Bhopal,Chandigarh,11.44,Surface,Non-Dox,5
Kolkata,Jaipur,12.61,Surface,Non-Dox,5
Surat,Bhopal,7.77,Surface,Dox,5
Ahmedabad,Dehradun,10.27,Express,Dox,2
Vijayawada,Raipur,11.84,Express,Non-Dox,2
Shimla,Vijayawada,9.65,Air Cargo,Non-Dox,5
Bhubaneswar,Patna,7.08,Surface,Non-Dox,5
Jamshedpur,Ludhiana,6.5,Surface,Non-Dox,5
Vizag,Indore,6.79,Surface,Non-Dox,5
Ludhiana,Kochi,3.96,Surface,Non-Dox,3
Amritsar,Dehradun,8.95,Surface,Non-Dox,5
Chennai,Vizag,3.29,Surface,Non-Dox,3
Guwahati,Lucknow,4.54,Surface,Dox,3
Vizag,Srinagar,1.37,Surface,Dox,3
Mumbai,Amritsar,5.9,Surface,Dox,5
Dehradun,Ludhiana,13.26,Surface,Non-Dox,5
Dehradun,Pune,8.22,Surface,Dox,5
Srinagar,Guwahati,2.82,Surface,Non-Dox,3
Ahmedabad,Kolkata,12.1,Surface,Non-Dox,5
Kolkata,Surat,4.11,Express,Dox,2
Varanasi,Guwahati,12.92,Surface,Dox,5
Nashik,Chandigarh,8.22,Surface,Dox,5
Shimla,Vizag,8.11,Air Cargo,Non-Dox,5
Lucknow,Thiruvananthapuram,11.12,Air Cargo,Dox,5
Coimbatore,Hyderabad,4.85,Surface,Non-Dox,3
Kolkata,Ahmedabad,8.57,Surface,Non-Dox,5
Nashik,Nagpur,12.47,Express,Dox,2
Bangalore,Vijayawada,5.8,Surface,Dox,5
Jamshedpur,Ludhiana,3.31,Surface,Non-Dox,3
Shimla,Jaipur,9.86,Surface,Dox,5
Pune,Ahmedabad,2.97,Surface,Non-Dox,3
Aurangabad,Amritsar,13.32,Surface,Non-Dox,5
Nagpur,Amritsar,9.49,Express,Non-Dox,2
Pune,Nashik,9.88,Surface,Non-Dox,5
Surat,Kochi,2.03,Surface,Non-Dox,3
Ahmedabad,Delhi,9.98,Surface,Dox,5
Agra,Chennai,7.88,Air Cargo,Dox,5
Aurangabad,Ahmedabad,2.42,Surface,Dox,3
Pune,Bhubaneswar,5.86,Surface,Dox,5
Agra,Vijayawada,10.31,Express,Dox,2
Bangalore,Raipur,10.19,Express,Dox,2
Thiruvananthapuram,Guwahati,7.25,Surface,Dox,5
Varanasi,Mumbai,7.98,Surface,Non-Dox,5
Varanasi,Raipur,6.31,Air Cargo,Dox,5
Guwahati,Nagpur,12.41,Express,Dox,2
Amritsar,Mumbai,4.96,Express,Dox,2
Pune,Delhi,6.49,Surface,Dox,5
Surat,Chandigarh,6.49,Surface,Dox,5
Mumbai,Srinagar,10.66,Surface,Non-Dox,5
Hyderabad,Srinagar,7.58,Surface,Dox,5
Agra,Bhubaneswar,9.33,Surface,Dox,5
Aurangabad,Bangalore,7.23,Air Cargo,Dox,5
Shimla,Vijayawada,7.05,Surface,Non-Dox,5
Delhi,Srinagar,13.41,Surface,Dox,5
Srinagar,Jaipur,13.15,Surface,Dox,5
Ludhiana,Guwahati,5.16,Surface,Non-Dox,5
Indore,Meerut,7.09,Surface,Dox,5
Nagpur,Meerut,6.51,Surface,Non-Dox,5
Bhopal,Aurangabad,10.18,Surface,Dox,5
Srinagar,Lucknow,7.3,Air Cargo,Non-Dox,5
Agra,Jaipur,8.08,Express,Non-Dox,2
Surat,Aurangabad,6.54,Express,Dox,2
Patna,Bhopal,1.98,Express,Non-Dox,1
Ranchi,Mumbai,4.27,Surface,Non-Dox,3
Guwahati,Nashik,13.5,Air Cargo,Non-Dox,5
Varanasi,Meerut,13.22,Air Cargo,Non-Dox,5
Meerut,Indore,4.2,Surface,Dox,3
Srinagar,Amritsar,5.77,Surface,Dox,5
Bangalore,Guwahati,8.33,Surface,Non-Dox,5
Nagpur,Ludhiana,10.05,Surface,Dox,5
Bangalore,Meerut,10.37,Air Cargo,Dox,5
Jamshedpur,Jaipur,13.55,Air Cargo,Dox,5
Hyderabad,Vizag,2.41,Express,Non-Dox,2
Aurangabad,Mumbai,6.93,Surface,Non-Dox,5
Agra,Dehradun,14.51,Surface,Non-Dox,5
Indore,Chennai,5.15,Surface,Non-Dox,5
Aurangabad,Coimbatore,1.89,Surface,Non-Dox,3
Srinagar,Meerut,6.54,Air Cargo,Dox,5
Indore,Bhubaneswar,11.46,Surface,Non-Dox,5
Dehradun,Meerut,6.57,Surface,Dox,5
Chandigarh,Chennai,12.03,Air Cargo,Non-Dox,5
Shimla,Chandigarh,2.13,Express,Dox,2
Ahmedabad,Coimbatore,4.83,Surface,Dox,3
Agra,Coimbatore,11.26,Express,Non-Dox,2
Chennai,Nagpur,11.17,Surface,Non-Dox,5
Dehradun,Indore,4.5,Surface,Dox,3
Nagpur,Varanasi,5.56,Surface,Dox,5
Patna,Mumbai,5.25,Surface,Dox,5
Raipur,Coimbatore,3.49,Surface,Non-Dox,3
Hyderabad,Meerut,5.6,Express,Dox,2
Kochi,Vizag,10.64,Surface,Non-Dox,5
Meerut,Guwahati,11.15,Air Cargo,Dox,5
Meerut,Ahmedabad,9.63,Surface,Non-Dox,5
Chandigarh,Kochi,3.04,Air Cargo,Dox,3
Delhi,Nashik,5.93,Surface,Dox,5
Chennai,Ludhiana,12.6,Express,Non-Dox,2
Guwahati,Meerut,9.99,Surface,Non-Dox,5
Aurangabad,Bhopal,12.64,Surface,Dox,5
Raipur,Kolkata,1.17,Air Cargo,Dox,3
Agra,Vizag,11.18,Express,Dox,2
Srinagar,Coimbatore,8.06,Air Cargo,Dox,5
Amritsar,Delhi,12.72,Surface,Non-Dox,5
Guwahati,Amritsar,2.39,Express,Non-Dox,2
Bhopal,Meerut,2.44,Surface,Dox,3
Aurangabad,Lucknow,4.28,Surface,Non-Dox,3
Vijayawada,Mumbai,8.43,Surface,Dox,5
Surat,Nagpur,10.7,Express,Non-Dox,2
Mumbai,Varanasi,3.34,Air Cargo,Non-Dox,3
Nagpur,Amritsar,10.35,Surface,Non-Dox,5
Bhubaneswar,Aurangabad,8.76,Surface,Non-Dox,5
Ranchi,Hyderabad,9.2,Surface,Non-Dox,5
Ahmedabad,Raipur,3.44,Surface,Dox,3
Delhi,Aurangabad,5.61,Surface,Non-Dox,5
Ahmedabad,Surat,0.44,Surface,Non-Dox,3
Jaipur,Pune,9.49,Surface,Non-Dox,5
Coimbatore,Pune,9.26,Surface,Dox,5
Bhubaneswar,Nashik,6.72,Express,Dox,2
Jamshedpur,Dehradun,3.83,Surface,Dox,3
Shimla,Chennai,9.47,Surface,Non-Dox,5
Aurangabad,Amritsar,3.8,Surface,Non-Dox,3
Ranchi,Indore,1.88,Express,Dox,1
Shimla,Hyderabad,6.38,Surface,Non-Dox,5
Jaipur,Bangalore,11.01,Express,Non-Dox,2
Thiruvananthapuram,Surat,5.28,Surface,Dox,5
Patna,Delhi,9.55,Surface,Non-Dox,5
Mumbai,Ahmedabad,6.12,Air Cargo,Non-Dox,5
Nagpur,Coimbatore,4.09,Surface,Non-Dox,3
Nagpur,Mumbai,3.72,Air Cargo,Dox,3
Agra,Srinagar,2.82,Surface,Non-Dox,3
Nagpur,Kochi,6.33,Surface,Non-Dox,5
Bhopal,Srinagar,2.38,Surface,Non-Dox,3
Nashik,Ranchi,6.58,Express,Dox,2
Vijayawada,Ahmedabad,12.43,Surface,Dox,5
Vijayawada,Patna,2.76,Express,Non-Dox,2
Chennai,Kochi,1.45,Surface,Dox,3
Vizag,Meerut,9.75,Surface,Dox,5
Patna,Thiruvananthapuram,8.48,Surface,Non-Dox,5
Delhi,Srinagar,11.93,Air Cargo,Dox,5
Aurangabad,Ahmedabad,2.97,Surface,Non-Dox,3
Hyderabad,Bangalore,9.96,Surface,Non-Dox,5
Chandigarh,Chennai,8.38,Express,Non-Dox,2
Chandigarh,Vijayawada,2.11,Air Cargo,Non-Dox,3
Kolkata,Jaipur,3.7,Express,Non-Dox,2
Patna,Vijayawada,11.38,Surface,Non-Dox,5
Nagpur,Guwahati,6.52,Surface,Dox,5
Patna,Meerut,2.87,Surface,Dox,3
Patna,Delhi,8.82,Air Cargo,Dox,5
Agra,Chandigarh,6.58,Surface,Non-Dox,5
Ranchi,Thiruvananthapuram,12.34,Surface,Non-Dox,5
Lucknow,Bangalore,4.93,Surface,Non-Dox,3
Srinagar,Meerut,5.35,Air Cargo,Non-Dox,5
Raipur,Nashik,11.24,Surface,Dox,5
Pune,Mumbai,4.31,Air Cargo,Dox,3
Raipur,Ahmedabad,10.85,Air Cargo,Non-Dox,5
Chennai,Vizag,7.38,Air Cargo,Dox,5
Mumbai,Kochi,11.89,Surface,Dox,5
Mumbai,Ahmedabad,9.51,Surface,Non-Dox,5
Chennai,Lucknow,5.28,Surface,Non-Dox,5
Jamshedpur,Chennai,11.59,Express,Non-Dox,2
Dehradun,Agra,6.58,Surface,Non-Dox,5
Bangalore,Thiruvananthapuram,4.23,Surface,Non-Dox,3
Chandigarh,Mumbai,5.03,Surface,Non-Dox,5
Kolkata,Ahmedabad,8.2,Surface,Non-Dox,5
Ranchi,Vizag,7.5,Air Cargo,Non-Dox,5
Srinagar,Dehradun,2.47,Express,Dox,2
Meerut,Coimbatore,10.26,Surface,Dox,5
Nagpur,Mumbai,11.07,Surface,Dox,5
Amritsar,Vijayawada,2.97,Air Cargo,Dox,3
Dehradun,Thiruvananthapuram,2.91,Air Cargo,Non-Dox,3
Chennai,Hyderabad,8.57,Air Cargo,Non-Dox,5
Ranchi,Vizag,10.81,Express,Non-Dox,2
Nashik,Aurangabad,3.12,Surface,Non-Dox,3
Raipur,Thiruvananthapuram,4.39,Surface,Dox,3
Ranchi,Aurangabad,6.6,Surface,Non-Dox,5
Chennai,Meerut,8.24,Surface,Dox,5
Delhi,Ludhiana,3.45,Surface,Non-Dox,3
Thiruvananthapuram,Jamshedpur,13.11,Surface,Non-Dox,5
Lucknow,Kolkata,12.73,Surface,Non-Dox,5
Amritsar,Indore,10.32,Surface,Non-Dox,5
Nagpur,Delhi,2.51,Surface,Dox,3
Patna,Meerut,11.65,Surface,Dox,5
Jaipur,Patna,1.89,Surface,Dox,3
Lucknow,Nashik,9.71,Air Cargo,Dox,5
Bhopal,Aurangabad,6.37,Surface,Dox,5
Raipur,Jaipur,6.48,Surface,Dox,5
Nashik,Shimla,10.54,Air Cargo,Dox,5
Shimla,Kolkata,13.1,Surface,Dox,5
Jaipur,Varanasi,9.71,Express,Dox,2
Patna,Raipur,9.55,Surface,Non-Dox,5
Mumbai,Guwahati,8.41,Surface,Non-Dox,5
Kolkata,Mumbai,7.89,Air Cargo,Dox,5
Nashik,Srinagar,10.34,Surface,Dox,5
Guwahati,Mumbai,2.32,Surface,Non-Dox,3
Chennai,Chandigarh,3.61,Surface,Dox,3
Jamshedpur,Jaipur,11.8,Express,Non-Dox,2
Amritsar,Kochi,5.89,Surface,Non-Dox,5
Raipur,Amritsar,4.61,Surface,Dox,3
Meerut,Jamshedpur,5.21,Express,Non-Dox,2
Patna,Raipur,5.65,Surface,Non-Dox,5
