Pickup_Location,Destination,Courier_Type,Historical_Deliveries,Actual_Delivery_Days
Ahmedabad,Pune,Express,4,4
Delhi,Chennai,Express,5,5
Pune,Mumbai,Express,4,5
Kolkata,Ahmedabad,Standard,3,3
Delhi,Kolkata,Express,6,7
Mumbai,Pune,Same Day,2,1
Kolkata,Kolkata,Same Day,7,6
Pune,Delhi,Standard,1,1
Mumbai,Kolkata,Same Day,5,6
Hyderabad,Chennai,Same Day,3,2
Chennai,Mumbai,Express,2,2
Ahmedabad,Mumbai,Same Day,7,7
Bangalore,Kolkata,Same Day,3,2
Delhi,Kolkata,Standard,1,1
Bangalore,Hyderabad,Same Day,1,1
Kolkata,Chennai,Same Day,3,2
Mumbai,Pune,Same Day,7,8
Hyderabad,Chennai,Same Day,3,4
Pune,Kolkata,Same Day,7,8
Ahmedabad,Delhi,Standard,1,1
Pune,Mumbai,Standard,2,3
Bangalore,Chennai,Same Day,4,5
Chennai,Bangalore,Same Day,5,6
Chennai,Delhi,Same Day,2,3
Mumbai,Mumbai,Same Day,4,4
Hyderabad,Bangalore,Same Day,5,6
Pune,Mumbai,Same Day,5,5
Ahmedabad,Kolkata,Same Day,7,6
Kolkata,Ahmedabad,Express,6,6
Pune,Mumbai,Express,7,8
Pune,Kolkata,Same Day,4,3
Hyderabad,Pune,Express,1,1
Delhi,Delhi,Express,2,2
Pune,Ahmedabad,Express,2,3
Pune,Delhi,Same Day,7,8
Kolkata,Hyderabad,Express,6,5
Mumbai,Bangalore,Standard,1,1
Bangalore,Hyderabad,Same Day,6,5
Chennai,Pune,Express,7,6
Chennai,Pune,Express,5,4
Ahmedabad,Delhi,Same Day,7,6
Hyderabad,Ahmedabad,Standard,3,4
Mumbai,Bangalore,Express,3,4
Bangalore,Delhi,Same Day,2,2
Delhi,Mumbai,Express,2,1
Bangalore,Kolkata,Standard,3,4
Mumbai,Kolkata,Same Day,7,8
Ahmedabad,Kolkata,Standard,3,4
Delhi,Hyderabad,Same Day,4,5
Ahmedabad,Chennai,Same Day,7,7
Delhi,Pune,Same Day,5,6
Chennai,Delhi,Express,6,6
Kolkata,Chennai,Express,2,3
Kolkata,Chennai,Same Day,3,3
Ahmedabad,Mumbai,Standard,4,3
Mumbai,Mumbai,Standard,2,2
Ahmedabad,Kolkata,Express,3,4
Ahmedabad,Pune,Express,6,5
Hyderabad,Ahmedabad,Standard,3,3
Mumbai,Mumbai,Express,6,7
Chennai,Ahmedabad,Same Day,4,5
Chennai,Hyderabad,Same Day,2,2
Mumbai,Mumbai,Same Day,7,6
Chennai,Kolkata,Same Day,5,5
Pune,Pune,Same Day,5,4
Pune,Ahmedabad,Express,4,5
Kolkata,Bangalore,Standard,4,3
Chennai,Bangalore,Standard,7,6
Delhi,Hyderabad,Standard,7,8
Ahmedabad,Bangalore,Express,2,2
Kolkata,Delhi,Express,2,3
Chennai,Bangalore,Express,7,8
Chennai,Bangalore,Express,3,3
Hyderabad,Kolkata,Standard,6,7
Kolkata,Mumbai,Express,6,7
Hyderabad,Pune,Express,5,4
Hyderabad,Kolkata,Same Day,1,1
Delhi,Bangalore,Same Day,7,6
Kolkata,Hyderabad,Standard,7,7
Delhi,Kolkata,Same Day,1,1
Bangalore,Delhi,Standard,4,5
Ahmedabad,Chennai,Standard,6,7
Chennai,Delhi,Standard,7,6
Hyderabad,Bangalore,Express,3,3
Delhi,Ahmedabad,Standard,2,3
Ahmedabad,Kolkata,Standard,4,4
Ahmedabad,Hyderabad,Same Day,7,7
Chennai,Mumbai,Express,4,4
Mumbai,Ahmedabad,Express,5,6
Hyderabad,Mumbai,Express,3,4
Ahmedabad,Kolkata,Standard,2,2
Mumbai,Hyderabad,Standard,1,2
Chennai,Mumbai,Standard,3,2
Bangalore,Chennai,Same Day,6,7
Hyderabad,Chennai,Standard,3,3
Bangalore,Kolkata,Same Day,3,4
Chennai,Delhi,Standard,4,4
Delhi,Ahmedabad,Express,6,5
Bangalore,Mumbai,Same Day,2,1
Mumbai,Bangalore,Express,5,6
Ahmedabad,Ahmedabad,Same Day,7,8
Mumbai,Ahmedabad,Standard,3,4
Bangalore,Chennai,Standard,2,2
Bangalore,Mumbai,Standard,4,3
Hyderabad,Delhi,Same Day,7,8
Ahmedabad,Pune,Express,7,7
Pune,Bangalore,Same Day,1,1
Bangalore,Ahmedabad,Same Day,6,6
Mumbai,Hyderabad,Express,2,1
Ahmedabad,Pune,Same Day,3,3
Mumbai,Delhi,Same Day,3,4
Ahmedabad,Bangalore,Same Day,5,4
Kolkata,Ahmedabad,Same Day,7,6
Ahmedabad,Pune,Same Day,1,1
Ahmedabad,Kolkata,Same Day,5,5
Ahmedabad,Ahmedabad,Same Day,6,7
Bangalore,Pune,Express,3,4
Pune,Bangalore,Express,2,2
Pune,Delhi,Standard,2,2
Kolkata,Pune,Express,3,3
Mumbai,Hyderabad,Standard,7,8
Kolkata,Pune,Express,2,3
Chennai,Hyderabad,Express,1,1
Delhi,Delhi,Express,6,7
Pune,Mumbai,Standard,4,5
Kolkata,Hyderabad,Standard,7,6
Ahmedabad,Kolkata,Standard,6,7
Mumbai,Delhi,Express,5,4
Chennai,Ahmedabad,Standard,3,4
Pune,Kolkata,Express,7,8
Hyderabad,Ahmedabad,Same Day,2,3
Chennai,Kolkata,Express,5,4
Pune,Chennai,Same Day,3,2
Pune,Chennai,Standard,3,3
Kolkata,Pune,Express,4,5
Delhi,Ahmedabad,Standard,4,3
Hyderabad,Kolkata,Same Day,3,4
Ahmedabad,Mumbai,Standard,1,1
Kolkata,Hyderabad,Express,3,4
Pune,Kolkata,Same Day,3,4
Delhi,Delhi,Standard,5,4
Bangalore,Chennai,Same Day,3,2
Ahmedabad,Chennai,Same Day,3,4
Mumbai,Hyderabad,Express,1,2
Delhi,Mumbai,Express,7,7
Delhi,Chennai,Same Day,4,5
Hyderabad,Hyderabad,Express,5,5
Chennai,Bangalore,Standard,7,8
Kolkata,Hyderabad,Standard,5,6
Mumbai,Kolkata,Express,7,7
Delhi,Pune,Express,3,2
Pune,Ahmedabad,Standard,2,3
Chennai,Mumbai,Standard,6,7
Hyderabad,Kolkata,Standard,6,6
Ahmedabad,Mumbai,Standard,3,3
Bangalore,Chennai,Standard,4,5
Mumbai,Mumbai,Express,7,7
Chennai,Hyderabad,Same Day,7,8
Chennai,Hyderabad,Same Day,4,5
Pune,Pune,Standard,2,2
Ahmedabad,Chennai,Standard,2,3
Kolkata,Bangalore,Standard,5,5
Delhi,Ahmedabad,Standard,6,5
Ahmedabad,Ahmedabad,Standard,6,5
Kolkata,Kolkata,Same Day,4,3
Ahmedabad,Hyderabad,Standard,7,8
Hyderabad,Mumbai,Same Day,5,4
Ahmedabad,Chennai,Same Day,4,4
Delhi,Delhi,Express,1,1
Bangalore,Hyderabad,Express,2,1
Hyderabad,Mumbai,Standard,1,1
Hyderabad,Hyderabad,Express,5,4
Bangalore,Ahmedabad,Same Day,2,2
Delhi,Ahmedabad,Express,3,4
Hyderabad,Kolkata,Standard,3,3
Bangalore,Hyderabad,Express,3,2
Delhi,Mumbai,Express,1,2
Mumbai,Chennai,Same Day,5,6
Ahmedabad,Hyderabad,Standard,1,1
Hyderabad,Bangalore,Standard,5,4
Chennai,Delhi,Same Day,3,3
Mumbai,Bangalore,Express,3,4
Kolkata,Mumbai,Same Day,2,1
Hyderabad,Delhi,Express,3,2
Kolkata,Delhi,Standard,3,2
Pune,Hyderabad,Express,3,2
Ahmedabad,Hyderabad,Same Day,3,2
Bangalore,Ahmedabad,Standard,5,4
Hyderabad,Pune,Same Day,6,7
Mumbai,Hyderabad,Same Day,4,3
Ahmedabad,Bangalore,Same Day,2,3
Kolkata,Delhi,Express,1,1
Pune,Delhi,Express,1,1
Chennai,Chennai,Same Day,5,6
Chennai,Hyderabad,Express,1,1
Chennai,Hyderabad,Express,4,5
Bangalore,Chennai,Express,6,6
Delhi,Chennai,Standard,7,8
Ahmedabad,Bangalore,Same Day,6,6
Hyderabad,Hyderabad,Same Day,5,4
Hyderabad,Hyderabad,Same Day,3,3
Pune,Mumbai,Standard,1,1
Pune,Bangalore,Express,7,6
Kolkata,Chennai,Express,7,6
Pune,Ahmedabad,Same Day,5,6
Chennai,Mumbai,Standard,2,2
Kolkata,Delhi,Standard,1,1
Kolkata,Kolkata,Same Day,2,3
Bangalore,Delhi,Standard,4,4
Ahmedabad,Hyderabad,Express,4,4
Pune,Kolkata,Same Day,1,1
Mumbai,Pune,Same Day,2,1
Hyderabad,Mumbai,Standard,1,1
Bangalore,Kolkata,Express,1,1
Pune,Mumbai,Express,5,4
Hyderabad,Hyderabad,Same Day,2,1
Bangalore,Pune,Standard,5,5
Kolkata,Mumbai,Standard,1,1
Mumbai,Pune,Standard,3,4
Bangalore,Pune,Same Day,2,1
Mumbai,Chennai,Same Day,7,8
Hyderabad,Hyderabad,Same Day,3,3
Kolkata,Bangalore,Same Day,1,1
Bangalore,Mumbai,Standard,7,6
Ahmedabad,Chennai,Same Day,1,1
Hyderabad,Delhi,Same Day,2,1
Ahmedabad,Hyderabad,Express,3,4
Delhi,Kolkata,Express,4,5
Pune,Bangalore,Express,1,1
Ahmedabad,Bangalore,Standard,4,4
Bangalore,Hyderabad,Express,4,3
Mumbai,Delhi,Express,6,5
Mumbai,Bangalore,Same Day,4,4
Ahmedabad,Delhi,Same Day,7,8
Bangalore,Bangalore,Standard,3,4
Kolkata,Mumbai,Standard,3,4
Mumbai,Kolkata,Standard,4,3
Hyderabad,Kolkata,Express,7,8
Pune,Delhi,Same Day,7,7
Chennai,Kolkata,Same Day,7,6
Pune,Hyderabad,Express,3,3
Ahmedabad,Chennai,Express,6,5
Pune,Bangalore,Same Day,3,3
Mumbai,Mumbai,Express,7,6
Bangalore,Bangalore,Standard,6,7
Pune,Bangalore,Same Day,4,4
Pune,Mumbai,Same Day,3,3
Kolkata,Mumbai,Standard,1,2
Mumbai,Chennai,Express,5,6
Ahmedabad,Bangalore,Standard,7,6
Ahmedabad,Kolkata,Same Day,7,8
Bangalore,Chennai,Express,6,5
Pune,Bangalore,Express,5,4
Mumbai,Pune,Standard,2,2
Chennai,Mumbai,Standard,2,1
Mumbai,Ahmedabad,Standard,1,1
Bangalore,Ahmedabad,Standard,6,7
Pune,Chennai,Same Day,5,5
Pune,Bangalore,Same Day,5,4
Chennai,Delhi,Same Day,1,1
Mumbai,Chennai,Express,1,2
Kolkata,Bangalore,Standard,3,2
Bangalore,Kolkata,Standard,5,5
Kolkata,Hyderabad,Same Day,4,5
Hyderabad,Mumbai,Same Day,5,5
Chennai,Delhi,Same Day,3,3
Hyderabad,Mumbai,Standard,1,1
Pune,Pune,Standard,1,2
Chennai,Mumbai,Express,3,4
Ahmedabad,Hyderabad,Express,4,4
Kolkata,Hyderabad,Standard,3,4
Pune,Delhi,Express,1,2
Kolkata,Pune,Standard,4,3
Kolkata,Hyderabad,Same Day,6,5
Ahmedabad,Kolkata,Express,2,3
Kolkata,Ahmedabad,Standard,3,2
Chennai,Mumbai,Standard,3,2
Delhi,Delhi,Express,1,1
Delhi,Hyderabad,Same Day,4,3
Mumbai,Mumbai,Express,2,2
Delhi,Bangalore,Standard,4,4
Kolkata,Kolkata,Standard,6,6
Pune,Kolkata,Standard,1,1
Pune,Chennai,Same Day,3,3
Kolkata,Hyderabad,Standard,5,6
Ahmedabad,Pune,Express,4,5
Hyderabad,Kolkata,Standard,7,7
Hyderabad,Hyderabad,Same Day,5,5
Kolkata,Kolkata,Same Day,1,2
Kolkata,Delhi,Same Day,2,3
Delhi,Chennai,Standard,6,7
Chennai,Bangalore,Same Day,7,7
Mumbai,Pune,Standard,7,6
Kolkata,Mumbai,Standard,6,6
Mumbai,Ahmedabad,Express,1,2
Pune,Bangalore,Standard,7,6
Chennai,Bangalore,Standard,2,2
Mumbai,Pune,Same Day,3,4
Kolkata,Pune,Standard,4,4
Delhi,Hyderabad,Standard,7,7
Ahmedabad,Kolkata,Same Day,2,1
Delhi,Ahmedabad,Same Day,1,1
Delhi,Delhi,Express,3,4
Chennai,Kolkata,Standard,2,3
Pune,Kolkata,Standard,4,4
Bangalore,Hyderabad,Express,5,6
Pune,Delhi,Standard,2,1
Ahmedabad,Delhi,Express,1,2
Chennai,Chennai,Express,7,6
Chennai,Bangalore,Standard,5,6
Hyderabad,Ahmedabad,Same Day,6,7
Kolkata,Hyderabad,Standard,5,6
Chennai,Chennai,Standard,4,4
Hyderabad,Ahmedabad,Express,1,2
Chennai,Bangalore,Same Day,4,4
Bangalore,Chennai,Standard,6,5
Kolkata,Delhi,Standard,5,6
Pune,Pune,Standard,5,6
Kolkata,Kolkata,Standard,5,6
Kolkata,Bangalore,Same Day,2,3
Ahmedabad,Mumbai,Express,6,5
Bangalore,Bangalore,Standard,5,4
Pune,Kolkata,Same Day,7,7
Chennai,Bangalore,Express,2,2
Mumbai,Mumbai,Standard,3,4
Mumbai,Hyderabad,Same Day,6,5
Chennai,Ahmedabad,Standard,3,2
Kolkata,Pune,Express,7,8
Bangalore,Pune,Standard,5,4
Delhi,Delhi,Standard,1,1
Ahmedabad,Chennai,Standard,5,5
Delhi,Delhi,Standard,4,5
Kolkata,Mumbai,Same Day,5,6
Chennai,Pune,Same Day,3,2
Pune,Mumbai,Standard,5,5
Hyderabad,Mumbai,Express,1,1
Mumbai,Bangalore,Standard,1,2
Delhi,Delhi,Express,7,7
Kolkata,Chennai,Express,4,5
Hyderabad,Delhi,Standard,1,2
Hyderabad,Kolkata,Express,6,5
Kolkata,Pune,Same Day,1,1
Mumbai,Mumbai,Express,6,7
Kolkata,Mumbai,Express,2,2
Hyderabad,Hyderabad,Express,4,3
Hyderabad,Kolkata,Standard,7,6
Pune,Kolkata,Standard,1,1
Chennai,Pune,Standard,3,4
Delhi,Kolkata,Standard,7,6
Bangalore,Hyderabad,Standard,4,3
Bangalore,Hyderabad,Express,3,3
Chennai,Delhi,Express,7,6
Pune,Kolkata,Express,2,2
Delhi,Hyderabad,Standard,1,1
Chennai,Delhi,Express,2,1
Bangalore,Mumbai,Same Day,6,7
Mumbai,Delhi,Express,1,2
Mumbai,Hyderabad,Same Day,7,6
Kolkata,Pune,Same Day,5,5
Mumbai,Hyderabad,Express,2,1
Ahmedabad,Ahmedabad,Standard,3,2
Mumbai,Kolkata,Express,6,7
Kolkata,Chennai,Standard,4,3
Delhi,Bangalore,Express,1,2
Bangalore,Delhi,Express,2,1
Bangalore,Chennai,Same Day,7,7
Bangalore,Pune,Same Day,1,1
Pune,Ahmedabad,Standard,3,3
Pune,Pune,Express,2,3
Kolkata,Ahmedabad,Same Day,5,4
Mumbai,Kolkata,Standard,5,4
Mumbai,Bangalore,Express,5,6
Delhi,Chennai,Same Day,3,4
Bangalore,Bangalore,Standard,5,6
Delhi,Hyderabad,Same Day,2,3
Hyderabad,Hyderabad,Standard,7,6
Chennai,Kolkata,Standard,4,4
Chennai,Pune,Express,7,7
Kolkata,Kolkata,Express,6,6
Delhi,Bangalore,Same Day,6,5
Delhi,Bangalore,Same Day,5,5
Kolkata,Bangalore,Standard,4,5
Mumbai,Delhi,Standard,6,5
Pune,Bangalore,Standard,3,2
Bangalore,Delhi,Same Day,7,7
Kolkata,Chennai,Same Day,2,3
Pune,Ahmedabad,Same Day,4,5
Mumbai,Pune,Express,5,4
Chennai,Bangalore,Same Day,7,7
Mumbai,Pune,Same Day,3,4
Ahmedabad,Pune,Express,7,6
Hyderabad,Pune,Express,2,2
Pune,Pune,Express,1,2
Ahmedabad,Bangalore,Express,4,3
Mumbai,Bangalore,Standard,7,6
Bangalore,Pune,Standard,2,3
Chennai,Hyderabad,Express,3,2
Ahmedabad,Delhi,Same Day,6,7
Bangalore,Ahmedabad,Standard,6,7
Kolkata,Kolkata,Same Day,7,8
Mumbai,Hyderabad,Express,5,6
Mumbai,Bangalore,Express,1,2
Kolkata,Pune,Same Day,3,2
Kolkata,Hyderabad,Standard,3,4
Hyderabad,Pune,Express,3,3
Kolkata,Mumbai,Same Day,4,5
Pune,Pune,Standard,6,7
Ahmedabad,Bangalore,Standard,2,3
Chennai,Mumbai,Same Day,1,2
Ahmedabad,Ahmedabad,Express,6,7
Pune,Chennai,Express,4,5
Delhi,Hyderabad,Same Day,3,3
Mumbai,Mumbai,Standard,6,6
Chennai,Mumbai,Same Day,4,4
Hyderabad,Kolkata,Standard,4,4
Delhi,Ahmedabad,Standard,1,2
Bangalore,Mumbai,Express,4,5
Chennai,Chennai,Same Day,4,5
Mumbai,Delhi,Express,5,5
Pune,Delhi,Standard,1,1
Pune,Delhi,Express,5,4
Delhi,Mumbai,Express,7,8
Ahmedabad,Hyderabad,Standard,5,5
Delhi,Ahmedabad,Standard,7,7
Ahmedabad,Mumbai,Express,4,4
Chennai,Chennai,Same Day,4,5
Bangalore,Chennai,Same Day,3,2
Pune,Kolkata,Express,5,4
Pune,Pune,Same Day,4,5
Mumbai,Bangalore,Same Day,7,7
Mumbai,Mumbai,Same Day,3,3
Bangalore,Chennai,Standard,7,8
Bangalore,Mumbai,Standard,4,5
Bangalore,Delhi,Express,6,6
Hyderabad,Delhi,Standard,7,7
Delhi,Chennai,Standard,4,3
Delhi,Kolkata,Standard,6,6
Chennai,Chennai,Same Day,5,4
Kolkata,Bangalore,Express,7,8
Delhi,Hyderabad,Same Day,5,4
Ahmedabad,Delhi,Standard,1,2
Kolkata,Chennai,Express,5,5
Hyderabad,Kolkata,Same Day,5,6
Pune,Ahmedabad,Express,1,1
Kolkata,Hyderabad,Express,6,5
Ahmedabad,Delhi,Express,4,4
Mumbai,Pune,Same Day,3,4
Bangalore,Delhi,Same Day,1,2
Ahmedabad,Pune,Express,1,2
Hyderabad,Bangalore,Express,3,2
Kolkata,Hyderabad,Express,4,3
Delhi,Pune,Standard,5,4
Kolkata,Ahmedabad,Express,3,4
Hyderabad,Ahmedabad,Same Day,7,6
Hyderabad,Delhi,Standard,6,5
Mumbai,Kolkata,Same Day,4,4
Bangalore,Chennai,Same Day,1,2
Hyderabad,Kolkata,Express,7,7
Delhi,Chennai,Same Day,1,2
Bangalore,Kolkata,Express,3,3
Chennai,Delhi,Standard,6,5
Hyderabad,Delhi,Same Day,3,3
Kolkata,Ahmedabad,Express,1,2
Pune,Hyderabad,Same Day,7,6
Pune,Hyderabad,Same Day,4,3
Mumbai,Delhi,Express,5,4
Pune,Hyderabad,Same Day,2,2
Delhi,Ahmedabad,Standard,7,7
Ahmedabad,Pune,Same Day,4,4
Bangalore,Hyderabad,Express,4,5
Chennai,Hyderabad,Standard,6,7
Mumbai,Chennai,Standard,4,5
Pune,Chennai,Express,3,3
Delhi,Mumbai,Express,5,6
Ahmedabad,Pune,Same Day,2,3
Bangalore,Delhi,Same Day,5,5
Kolkata,Hyderabad,Express,1,1
Mumbai,Chennai,Standard,7,7
Ahmedabad,Bangalore,Standard,4,4
Chennai,Hyderabad,Express,4,5
Bangalore,Bangalore,Same Day,5,5
Hyderabad,Kolkata,Standard,1,1
Kolkata,Kolkata,Express,3,3
Pune,Delhi,Same Day,2,1
Bangalore,Pune,Express,1,1
Chennai,Ahmedabad,Standard,7,8
Delhi,Hyderabad,Same Day,1,1
Ahmedabad,Delhi,Same Day,2,3
Chennai,Ahmedabad,Same Day,3,4
Bangalore,Pune,Same Day,6,6
Delhi,Hyderabad,Standard,6,5
Mumbai,Kolkata,Same Day,3,4
Pune,Mumbai,Standard,1,1
Hyderabad,Pune,Express,1,1
Kolkata,Bangalore,Same Day,1,2
Kolkata,Delhi,Same Day,3,3
Mumbai,Ahmedabad,Same Day,4,3
Kolkata,Ahmedabad,Express,3,4
Delhi,Hyderabad,Same Day,5,4
Pune,Kolkata,Standard,2,3
Pune,Ahmedabad,Same Day,1,1
Chennai,Ahmedabad,Express,3,2
Bangalore,Ahmedabad,Express,2,3
Ahmedabad,Bangalore,Standard,3,3
Pune,Pune,Same Day,7,7
Mumbai,Kolkata,Express,5,5
Mumbai,Mumbai,Express,1,1
Hyderabad,Hyderabad,Express,5,4
Delhi,Chennai,Same Day,6,7
Ahmedabad,Ahmedabad,Same Day,5,4
Ahmedabad,Chennai,Express,2,2
Bangalore,Ahmedabad,Same Day,7,8
Bangalore,Chennai,Express,2,1
Chennai,Kolkata,Express,7,7
Pune,Mumbai,Standard,2,1
Bangalore,Kolkata,Express,5,4
Hyderabad,Mumbai,Express,7,8
Kolkata,Pune,Same Day,5,5
Hyderabad,Kolkata,Same Day,1,1
Pune,Pune,Same Day,2,2
Delhi,Mumbai,Standard,2,1
Ahmedabad,Chennai,Same Day,6,5
Bangalore,Delhi,Same Day,4,4
Mumbai,Delhi,Standard,5,5
Delhi,Ahmedabad,Express,2,1
Ahmedabad,Hyderabad,Standard,2,1
Hyderabad,Ahmedabad,Same Day,1,1
Chennai,Chennai,Same Day,4,5
Kolkata,Delhi,Same Day,5,6
Ahmedabad,Delhi,Standard,1,1
Bangalore,Pune,Standard,4,3
Ahmedabad,Kolkata,Express,2,1
Mumbai,Hyderabad,Express,3,2
Ahmedabad,Bangalore,Express,3,4
Delhi,Chennai,Same Day,2,1
Bangalore,Chennai,Same Day,2,2
Ahmedabad,Mumbai,Standard,7,6
Kolkata,Mumbai,Same Day,2,3
Ahmedabad,Pune,Same Day,3,4
Delhi,Hyderabad,Express,7,8
Chennai,Pune,Same Day,6,6
Delhi,Hyderabad,Express,5,4
Chennai,Mumbai,Same Day,5,4
Bangalore,Delhi,Standard,4,3
Bangalore,Chennai,Express,1,1
Ahmedabad,Chennai,Standard,5,6
Kolkata,Chennai,Same Day,7,7
Bangalore,Pune,Express,2,3
Mumbai,Hyderabad,Same Day,4,4
Ahmedabad,Mumbai,Same Day,6,5
Delhi,Pune,Standard,5,5
Chennai,Chennai,Express,7,8
Bangalore,Delhi,Same Day,3,2
Ahmedabad,Kolkata,Express,5,5
Delhi,Kolkata,Same Day,6,5
Bangalore,Ahmedabad,Express,5,6
Mumbai,Hyderabad,Standard,2,3
Delhi,Ahmedabad,Standard,5,5
Chennai,Mumbai,Express,4,4
Bangalore,Ahmedabad,Express,3,4
Kolkata,Mumbai,Same Day,3,2
Kolkata,Mumbai,Standard,7,6
Ahmedabad,Bangalore,Express,1,2
Mumbai,Bangalore,Standard,5,4
Ahmedabad,Ahmedabad,Same Day,5,5
Mumbai,Mumbai,Standard,4,3
Pune,Hyderabad,Standard,5,6
Delhi,Ahmedabad,Express,1,1
Kolkata,Mumbai,Express,4,4
Kolkata,Mumbai,Standard,5,5
Bangalore,Ahmedabad,Same Day,4,4
Delhi,Hyderabad,Standard,7,8
Delhi,Pune,Express,3,3
Hyderabad,Pune,Express,3,3
Bangalore,Chennai,Standard,3,3
Kolkata,Bangalore,Express,7,8
Ahmedabad,Pune,Same Day,3,3
Chennai,Hyderabad,Express,6,7
Mumbai,Delhi,Same Day,7,7
Ahmedabad,Ahmedabad,Same Day,3,2
Pune,Chennai,Express,5,5
Mumbai,Chennai,Standard,1,1
Hyderabad,Kolkata,Standard,7,6
Hyderabad,Kolkata,Same Day,4,4
Hyderabad,Pune,Same Day,2,2
Kolkata,Bangalore,Standard,3,2
Mumbai,Delhi,Same Day,6,7
Hyderabad,Ahmedabad,Express,5,5
Bangalore,Hyderabad,Express,3,4
Bangalore,Mumbai,Same Day,7,6
Pune,Chennai,Express,5,4
Hyderabad,Ahmedabad,Standard,6,7
Mumbai,Hyderabad,Express,3,2
Kolkata,Pune,Same Day,4,5
Hyderabad,Hyderabad,Express,1,1
Kolkata,Delhi,Express,5,6
Mumbai,Kolkata,Express,2,2
Chennai,Hyderabad,Express,6,6
Mumbai,Chennai,Same Day,4,3
Kolkata,Delhi,Same Day,2,2
Delhi,Pune,Same Day,2,1
Pune,Chennai,Same Day,6,7
Ahmedabad,Chennai,Same Day,5,5
Chennai,Ahmedabad,Express,5,5
Delhi,Chennai,Same Day,6,6
Kolkata,Delhi,Same Day,2,3
Pune,Kolkata,Express,2,1
Hyderabad,Chennai,Standard,7,8
Pune,Chennai,Standard,1,1
Hyderabad,Ahmedabad,Standard,6,6
Chennai,Ahmedabad,Express,7,7
Delhi,Pune,Same Day,4,3
Hyderabad,Delhi,Express,2,1
Bangalore,Delhi,Same Day,4,5
Chennai,Delhi,Standard,2,3
Mumbai,Ahmedabad,Same Day,2,3
Mumbai,Kolkata,Express,4,3
Kolkata,Hyderabad,Same Day,1,2
Kolkata,Kolkata,Standard,6,5
Chennai,Ahmedabad,Express,6,5
Kolkata,Hyderabad,Standard,7,7
Hyderabad,Bangalore,Standard,4,5
Kolkata,Hyderabad,Express,2,1
Pune,Kolkata,Same Day,6,6
Delhi,Delhi,Same Day,4,4
Mumbai,Kolkata,Express,4,5
Chennai,Mumbai,Express,3,3
Kolkata,Chennai,Express,4,3
Pune,Mumbai,Standard,6,7
Kolkata,Ahmedabad,Same Day,5,5
Hyderabad,Ahmedabad,Same Day,2,1
Bangalore,Chennai,Same Day,3,3
Chennai,Delhi,Standard,5,5
Hyderabad,Mumbai,Standard,4,3
Hyderabad,Mumbai,Standard,4,5
Hyderabad,Kolkata,Standard,6,5
Chennai,Pune,Express,4,4
Mumbai,Mumbai,Standard,5,6
Kolkata,Kolkata,Express,7,7
Ahmedabad,Hyderabad,Same Day,5,5
Mumbai,Chennai,Standard,4,4
Chennai,Mumbai,Standard,5,4
Chennai,Ahmedabad,Express,2,2
Chennai,Hyderabad,Same Day,4,3
Chennai,Chennai,Same Day,2,1
Kolkata,Mumbai,Express,2,1
Pune,Kolkata,Standard,1,2
Hyderabad,Delhi,Express,4,5
Chennai,Delhi,Same Day,4,4
Kolkata,Kolkata,Express,5,4
Bangalore,Mumbai,Standard,5,5
Chennai,Chennai,Same Day,6,5
Hyderabad,Delhi,Express,7,7
Delhi,Bangalore,Express,1,2
Mumbai,Bangalore,Same Day,7,7
Ahmedabad,Bangalore,Express,4,3
Pune,Hyderabad,Same Day,3,4
Delhi,Chennai,Express,4,4
Hyderabad,Kolkata,Standard,2,3
Kolkata,Ahmedabad,Same Day,6,6
Mumbai,Bangalore,Standard,1,2
Mumbai,Pune,Express,6,7
Bangalore,Bangalore,Same Day,3,3
Ahmedabad,Hyderabad,Standard,3,3
Kolkata,Kolkata,Same Day,1,1
Delhi,Kolkata,Standard,4,5
Ahmedabad,Mumbai,Express,1,2
Ahmedabad,Bangalore,Same Day,6,6
Delhi,Delhi,Same Day,1,1
Chennai,Kolkata,Express,7,6
Bangalore,Mumbai,Standard,2,1
Hyderabad,Pune,Express,4,3
Chennai,Ahmedabad,Standard,7,8
Pune,Chennai,Standard,4,4
Ahmedabad,Ahmedabad,Standard,6,5
Delhi,Chennai,Express,5,4
Kolkata,Bangalore,Express,2,2
Bangalore,Ahmedabad,Express,3,3
Bangalore,Hyderabad,Standard,7,8
Chennai,Pune,Express,6,7
Kolkata,Bangalore,Standard,2,2
Kolkata,Mumbai,Express,3,2
Mumbai,Hyderabad,Same Day,2,3
Hyderabad,Pune,Same Day,5,5
Mumbai,Mumbai,Standard,7,8
Mumbai,Pune,Same Day,3,2
Chennai,Bangalore,Standard,3,3
Ahmedabad,Ahmedabad,Same Day,1,1
Chennai,Pune,Express,1,1
Chennai,Chennai,Same Day,4,4
Kolkata,Mumbai,Express,7,7
Chennai,Pune,Express,6,6
Bangalore,Ahmedabad,Standard,4,3
Pune,Ahmedabad,Same Day,3,3
Chennai,Ahmedabad,Express,4,4
Mumbai,Chennai,Standard,3,3
Kolkata,Bangalore,Standard,6,6
Chennai,Chennai,Same Day,1,1
Hyderabad,Kolkata,Standard,2,2
Delhi,Hyderabad,Standard,6,7
Kolkata,Bangalore,Standard,6,5
Mumbai,Delhi,Express,7,6
Delhi,Pune,Same Day,7,8
Hyderabad,Pune,Same Day,6,7
Mumbai,Hyderabad,Same Day,3,4
